File Name,Label,Comment,Image,Audio,Call Type,Length (seconds),Start Time,Trap Number,Collaborators
Marley-190519_230002-S746-E752,Junk,,Marley-190519_230002-S746-E752.png (https://dl.airtable.com/.attachments/0f051f83f4eede14d985a2d29292b777/301cfbfc/Marley-190519_230002-S746-E752.png),Marley-190519_230002-S746-E752.wav (https://dl.airtable.com/.attachments/6472a9acf988de747d3f5f9a878eb5d4/2abcacb7/Marley-190519_230002-S746-E752.wav),Male,6.0,2019-05-20 11:12,Secretary_Island/Marley,
Marley-190519_230002-S776-E782,Junk,,Marley-190519_230002-S776-E782.png (https://dl.airtable.com/.attachments/7f8b2589c66c5ebdf7e1fec7c8e86bf6/db77e79c/Marley-190519_230002-S776-E782.png),Marley-190519_230002-S776-E782.wav (https://dl.airtable.com/.attachments/612ed009cf6bddc04943c38f17b549e7/ca5815b6/Marley-190519_230002-S776-E782.wav),Male,6.0,2019-05-20 11:12,Secretary_Island/Marley,
Marley-190519_231502-S54-E60,Junk,,Marley-190519_231502-S54-E60.png (https://dl.airtable.com/.attachments/a1493136474294d29f84c80821c20b07/3a546313/Marley-190519_231502-S54-E60.png),Marley-190519_231502-S54-E60.wav (https://dl.airtable.com/.attachments/c95fc585d551adfeb59fb6fb18c89424/0eac6db8/Marley-190519_231502-S54-E60.wav),Male,6.0,2019-05-20 11:15,Secretary_Island/Marley,
Marley-190519_231502-S137-E143,Junk,,Marley-190519_231502-S137-E143.png (https://dl.airtable.com/.attachments/8800f597e6318d293f42d48eb011dfb7/f11a4763/Marley-190519_231502-S137-E143.png),Marley-190519_231502-S137-E143.wav (https://dl.airtable.com/.attachments/4fd24c11da06616208245f96eb1d98b5/659251fb/Marley-190519_231502-S137-E143.wav),Male,6.0,2019-05-20 11:17,Secretary_Island/Marley,
Marley-190519_231502-S222-E228,Junk,,Marley-190519_231502-S222-E228.png (https://dl.airtable.com/.attachments/3722c12fb10aa03344d8362a20fe281c/419713ec/Marley-190519_231502-S222-E228.png),Marley-190519_231502-S222-E228.wav (https://dl.airtable.com/.attachments/dc258fa230eb8c606df284bd8684275a/8da35819/Marley-190519_231502-S222-E228.wav),Male,6.0,2019-05-20 11:18,Secretary_Island/Marley,
Marley-190519_231502-S258-E281,Junk,,Marley-190519_231502-S258-E281.png (https://dl.airtable.com/.attachments/56ef37e99278bb6196f16bdb477a0222/01e8a02e/Marley-190519_231502-S258-E281.png),Marley-190519_231502-S258-E281.wav (https://dl.airtable.com/.attachments/044582472959f6a96bba050dba9c3c1e/559a9025/Marley-190519_231502-S258-E281.wav),Male,23.0,2019-05-20 11:19,Secretary_Island/Marley,
Marley-190519_231502-S382-E391,Junk,,Marley-190519_231502-S382-E391.png (https://dl.airtable.com/.attachments/172cd201bd238d92f2b35291124f5b6c/eea45a67/Marley-190519_231502-S382-E391.png),Marley-190519_231502-S382-E391.wav (https://dl.airtable.com/.attachments/69a5f8ca592e9e8e18f208b235e9192e/b5b23ef8/Marley-190519_231502-S382-E391.wav),Male,9.0,2019-05-20 11:21,Secretary_Island/Marley,
Marley-190519_231502-S431-E438,Junk,,Marley-190519_231502-S431-E438.png (https://dl.airtable.com/.attachments/3496867848b08e539a33ffaaa3814a3d/6014deb8/Marley-190519_231502-S431-E438.png),Marley-190519_231502-S431-E438.wav (https://dl.airtable.com/.attachments/93dac967db0574e8ca6359c20b480d58/41f98896/Marley-190519_231502-S431-E438.wav),Male,7.0,2019-05-20 11:22,Secretary_Island/Marley,
Marley-190519_231502-S482-E489,Junk,,Marley-190519_231502-S482-E489.png (https://dl.airtable.com/.attachments/9ca04f4818f3a91da7dd6205621a4ed4/d5974ced/Marley-190519_231502-S482-E489.png),Marley-190519_231502-S482-E489.wav (https://dl.airtable.com/.attachments/fa15baf3c3a615265c07555b4f48b6c8/08bbb054/Marley-190519_231502-S482-E489.wav),Male,7.0,2019-05-20 11:23,Secretary_Island/Marley,
Marley-190519_231502-S565-E575,Junk,,Marley-190519_231502-S565-E575.png (https://dl.airtable.com/.attachments/2dc7c14199a38b44fa49d4456e599407/deafe3c8/Marley-190519_231502-S565-E575.png),Marley-190519_231502-S565-E575.wav (https://dl.airtable.com/.attachments/a102eba43a24999fd34b8e1604ba51c6/aa2353ba/Marley-190519_231502-S565-E575.wav),Male,10.0,2019-05-20 11:24,Secretary_Island/Marley,
