Call Type,Length (seconds),Start Time,Location,File,S,E
Male,24.0,2020-03-02 11:09,Crossroad,010320_220001,541,565
Male,25.0,2020-03-02 11:22,Crossroad,010320_221502,455,480
Male,34.0,2020-03-02 11:53,Crossroad,010320_224502,510,544
Male,29.0,2020-03-02 11:54,Crossroad,010320_224502,589,618
Male,19.0,2020-03-02 12:08,Crossroad,010320_230002,493,512
Male,21.0,2020-04-02 12:21,Crossroad,010420_231502,386,407
Male,27.0,2020-04-02 12:25,Crossroad,010420_231502,617,644
Male,21.0,2019-05-02 10:16,Crossroad,010519_221502,67,88
Male,27.0,2019-05-02 11:19,Crossroad,010519_231502,266,293
Female,7.0,2019-05-02 11:19,Crossroad,010519_231502,292,299
Male,16.0,2019-05-02 11:32,Crossroad,010519_233002,160,176
Female,7.0,2019-05-02 11:30,Crossroad,010519_233002,17,24
Male,8.0,2020-03-03 11:08,Crossroad,020320_220001,509,517
Male,13.0,2020-03-03 11:08,Crossroad,020320_220001,522,535
Male,18.0,2019-04-03 11:10,Crossroad,020419_220001,649,667
Female,13.0,2019-04-03 11:26,Crossroad,020419_221502,685,698
Male,24.0,2019-04-03 11:26,Crossroad,020419_221502,703,727
Male,23.0,2019-04-03 11:42,Crossroad,020419_223002,761,784
Male,6.0,2019-04-03 11:46,Crossroad,020419_224502,107,113
Female,15.0,2019-04-03 12:33,Crossroad,020419_233002,200,215
Male,7.0,2019-04-03 12:33,Crossroad,020419_233002,223,230
Male,12.0,2020-04-03 11:32,Crossroad,020420_223002,177,189
Male,24.0,2020-04-03 12:19,Crossroad,020420_231502,270,294
Male,24.0,2020-04-03 12:16,Crossroad,020420_231502,93,117
Male,24.0,2020-04-03 12:49,Crossroad,020420_234502,260,284
Male,21.0,2019-05-03 10:43,Crossroad,020519_223002,825,846
Male,18.0,2019-05-03 11:22,Crossroad,020519_231502,432,450
Male,12.0,2018-04-04 11:51,Crossroad,030418_234502,382,394
Male,13.0,2019-04-04 11:09,Crossroad,030419_220001,572,585
Male,10.0,2019-04-04 11:57,Crossroad,030419_224502,753,763
Male,27.0,2019-04-04 12:21,Crossroad,030419_231502,379,406
Male,12.0,2019-04-04 12:30,Crossroad,030419_233002,38,50
Male,6.0,2019-04-04 12:30,Crossroad,030419_233002,53,59
Female,6.0,2019-04-04 12:31,Crossroad,030419_233002,65,71
Male,26.0,2019-04-04 12:41,Crossroad,030419_233002,671,697
Male,23.0,2020-04-04 11:55,Crossroad,030420_224502,625,648
Male,13.0,2020-04-04 12:47,Crossroad,030420_234502,160,173
