File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-010320_220001-S541-E565,Male,24.0,2020-03-02 11:09,Secretary_Island/Crossroad
Crossroad-010320_221502-S455-E480,Male,25.0,2020-03-02 11:22,Secretary_Island/Crossroad
Crossroad-010320_224502-S510-E544,Male,34.0,2020-03-02 11:53,Secretary_Island/Crossroad
Crossroad-010320_224502-S589-E618,Male,29.0,2020-03-02 11:54,Secretary_Island/Crossroad
Crossroad-010320_230002-S493-E512,Male,19.0,2020-03-02 12:08,Secretary_Island/Crossroad
Crossroad-010420_231502-S386-E407,Male,21.0,2020-04-02 12:21,Secretary_Island/Crossroad
Crossroad-010420_231502-S617-E644,Male,27.0,2020-04-02 12:25,Secretary_Island/Crossroad
Crossroad-010519_221502-S67-E88,Male,21.0,2019-05-02 10:16,Secretary_Island/Crossroad
Crossroad-010519_231502-S266-E293,Male,27.0,2019-05-02 11:19,Secretary_Island/Crossroad
Crossroad-010519_231502-S292-E299,Female,7.0,2019-05-02 11:19,Secretary_Island/Crossroad
Crossroad-010519_233002-S160-E176,Male,16.0,2019-05-02 11:32,Secretary_Island/Crossroad
Crossroad-010519_233002-S17-E24,Female,7.0,2019-05-02 11:30,Secretary_Island/Crossroad
Crossroad-020320_220001-S509-E517,Male,8.0,2020-03-03 11:08,Secretary_Island/Crossroad
Crossroad-020320_220001-S522-E535,Male,13.0,2020-03-03 11:08,Secretary_Island/Crossroad
Crossroad-020419_220001-S649-E667,Male,18.0,2019-04-03 11:10,Secretary_Island/Crossroad
Crossroad-020419_221502-S685-E698,Female,13.0,2019-04-03 11:26,Secretary_Island/Crossroad
Crossroad-020419_221502-S703-E727,Male,24.0,2019-04-03 11:26,Secretary_Island/Crossroad
Crossroad-020419_223002-S761-E784,Male,23.0,2019-04-03 11:42,Secretary_Island/Crossroad
Crossroad-020419_224502-S107-E113,Male,6.0,2019-04-03 11:46,Secretary_Island/Crossroad
Crossroad-020419_233002-S200-E215,Female,15.0,2019-04-03 12:33,Secretary_Island/Crossroad
Crossroad-020419_233002-S223-E230,Male,7.0,2019-04-03 12:33,Secretary_Island/Crossroad
Crossroad-020420_223002-S177-E189,Male,12.0,2020-04-03 11:32,Secretary_Island/Crossroad
Crossroad-020420_231502-S270-E294,Male,24.0,2020-04-03 12:19,Secretary_Island/Crossroad
Crossroad-020420_231502-S93-E117,Male,24.0,2020-04-03 12:16,Secretary_Island/Crossroad
Crossroad-020420_234502-S260-E284,Male,24.0,2020-04-03 12:49,Secretary_Island/Crossroad
Crossroad-020519_223002-S825-E846,Male,21.0,2019-05-03 10:43,Secretary_Island/Crossroad
Crossroad-020519_231502-S432-E450,Male,18.0,2019-05-03 11:22,Secretary_Island/Crossroad
Crossroad-030418_234502-S382-E394,Male,12.0,2018-04-04 11:51,Secretary_Island/Crossroad
Crossroad-030419_220001-S572-E585,Male,13.0,2019-04-04 11:09,Secretary_Island/Crossroad
Crossroad-030419_224502-S753-E763,Male,10.0,2019-04-04 11:57,Secretary_Island/Crossroad
Crossroad-030419_231502-S379-E406,Male,27.0,2019-04-04 12:21,Secretary_Island/Crossroad
Crossroad-030419_233002-S38-E50,Male,12.0,2019-04-04 12:30,Secretary_Island/Crossroad
Crossroad-030419_233002-S53-E59,Male,6.0,2019-04-04 12:30,Secretary_Island/Crossroad
Crossroad-030419_233002-S65-E71,Female,6.0,2019-04-04 12:31,Secretary_Island/Crossroad
Crossroad-030419_233002-S671-E697,Male,26.0,2019-04-04 12:41,Secretary_Island/Crossroad
Crossroad-030420_224502-S625-E648,Male,23.0,2020-04-04 11:55,Secretary_Island/Crossroad
