Location	File_Name	start	end	min_freq	max_freq	certainty	call_type	species	Noise_Types	Noise_Level
Marley	010518_223002.wav.data	22:44:42	22:45:02	1622.0	3081.0	100	M	K-Set	["Wind"]	Low
Marley	010518_223002.wav.data	22:44:42	22:45:02	1622.0	3081.0	100	M	K-M	["Wind"]	Low
Marley	010518_223002.wav.data	22:44:42	22:45:02	1622.0	3081.0	100	M	K-Far	["Wind"]	Low
Marley	020519_231502.wav.data	23:18:25	23:18:53	1877.0	2942.0	100	M	K-Far	["Wind"]	Low
Marley	020519_231502.wav.data	23:18:25	23:18:53	1877.0	2942.0	100	M	K-M	["Wind"]	Low
Marley	020519_231502.wav.data	23:18:25	23:18:53	1877.0	2942.0	100	M	K-Ok	["Wind"]	Low
Marley	020519_233002.wav.data	23:33:40	23:34:11	1622.0	2931.0	100	M	K-M	["Wind"]	Low
Marley	020519_233002.wav.data	23:33:40	23:34:11	1622.0	2931.0	100	M	K-Far	["Wind"]	Low
Marley	020519_233002.wav.data	23:33:40	23:34:11	1622.0	2931.0	100	M	K-Set	["Wind"]	Low
Marley	040419_233002.wav.data	23:30:21	23:30:48	1448.0	3984.0	100	M	K-Set	["Wind", "Wind Gusts"]	Medium
Marley	040419_233002.wav.data	23:30:21	23:30:48	1448.0	3984.0	100	M	K-M	["Wind", "Wind Gusts"]	Medium
Marley	040419_233002.wav.data	23:30:21	23:30:48	1448.0	3984.0	100	M	K-Far	["Wind", "Wind Gusts"]	Medium
Marley	040518_220001.wav.data	22:00:01	22:00:51	1631	2975	100	M	K-M	["Wind"]	Low
Marley	040518_220001.wav.data	22:00:01	22:00:51	1631	2975	100	M	K-Set	["Wind"]	Low
Marley	040518_220001.wav.data	22:00:01	22:00:51	1631	2975	100	M	K-Far	["Wind"]	Low
Marley	040518_220001.wav.data	22:02:37	22:02:58	996.0	3485.0	100	M	K-Far	["Wind"]	Low
Marley	040518_220001.wav.data	22:02:37	22:02:58	996.0	3485.0	100	M	K-Set	["Wind"]	Low
Marley	040518_220001.wav.data	22:02:37	22:02:58	996.0	3485.0	100	M	K-F	["Wind"]	Low
Marley	040518_220001.wav.data	22:02:58	22:03:13	1370.0	2714.0	100	M	K-Set	["Wind"]	Low
